x1,geo,pct_poverty_married,pct_labor_force,pct_unemployed,pct_not_in_labor_force,pct_female_labor_force,pct_parents_lf_under6,pct_parents_lf_6_17,pct_work_from_home,est_commute_time_min,pct_mgmt_occ,pct_service_occ,pct_manufacturing,pct_health_edu,pct_private_workers,pct_gov_workers,pct_self_employed,est_median_hh_income,est_mean_hh_income,est_per_capita_income,est_median_nonfamily_income,est_male_earnings,est_female_earnings,pct_ssi,pct_public_assistance,pct_snap,pct_poverty_all,pct_poverty_female_head,pct_poverty_18_64,pct_private_insurance,pct_uninsured,year,gdp_per_capita,gdp_pc_growth,post_covid
165,District of Columbia,3.4,70.5,4.6,29.5,68.3,70.5,70.9,7.4,30.8,63.3,14.4,1.3,17.2,70.3,25,4.6,82372,121095,52500,68067,74877,66679,5.6,3.2,13.2,13.3,30.7,14.6,70.1,3.8,2017,192659.36859380355,0.18920146928256276,0
217,District of Columbia,2.4,70.7,5.3,29.3,69.4,76.3,80.8,6.1,30.9,64.7,14.4,1.3,18.8,72.2,23,4.7,85203,124946,55328,71189,81267,70911,4.9,3.8,14,11.3,27.2,14.1,70.4,3.2,2018,196062.46991040223,1.766382471528627,0
269,District of Columbia,1.3,70.8,4.4,29.2,69.1,81.6,81.4,7.4,31.7,67.8,13.1,1.1,19.6,70.9,24.9,4.1,92266,135369,59808,76529,87603,72750,5.6,2.9,11.3,8.8,23.8,12,72.6,3.5,2019,196130.05522038028,0.0344713141729347,0
321,District of Columbia,3.2,70.7,5.7,29.3,68,78,73.6,48.3,28.3,72.3,10.2,1.3,16.5,68.5,26.7,4.7,90088,138856,65808,76236,103222,87244,4.7,5,14.3,12.8,29.9,14.9,71.9,3.7,2021,214054.33092854786,9.138974487121354,1
373,District of Columbia,2.9,71.8,3.6,28.2,69.9,73.6,66.9,33.8,30.1,72.4,9.9,1.9,17.8,69.9,25.7,4.3,101027,148872,71699,82505,102558,86043,3.9,3.9,13.6,8.7,20.8,11.8,72.5,2.9,2022,212083.89609503915,-0.9205302340584032,1
425,District of Columbia,4.6,72.8,3.8,27.2,70.4,84.3,80.9,27.3,30.4,72.8,12.3,1.6,18.4,69,27.1,3.9,108210,160752,78479,89007,108448,92898,3.7,3,15.1,11.1,23.9,12.4,73.7,2.7,2023,209768.23981516616,-1.0918586099697536,1
477,District of Columbia,2.8,71.3,4,28.7,69.6,71.1,77.2,22.9,31,71.1,11.8,1.5,18.1,70.1,25.6,4.2,109707,161107,76604,91309,111603,97942,4.6,5,15.9,13.8,33.1,14,69.4,4.5,2024,209874.00731943702,0.05042112398141452,1
10,Florida,6.6,58.6,4.7,41.4,54,65.7,71.3,5.4,26.4,34.2,20.8,5,21.1,81.8,12,6,47463,67510,26582,30563,40971,34768,5,2.2,14.8,12,29.4,15.9,59,16.6,2014,45615.69325492045,NA,0
62,Florida,6.1,58.4,4.1,41.6,54,67.1,71.4,5.6,27,34.5,20.1,5.1,20.8,82.4,11.5,6,49426,70462,27697,31445,41105,35604,5.2,2,14.9,11.3,27,15,61.8,13.3,2015,46783.906572351276,2.5609899446279227,0
114,Florida,6.1,58.2,3.5,41.8,53.6,67,72.3,6,27.4,34.3,20.6,5,20.8,82.1,11.7,6.1,50860,72784,28621,32389,41586,36112,5.2,2,14.2,10.5,25,14,62.4,12.5,2016,47461.01962177484,1.447320454901324,0
166,Florida,6,58.4,3.2,41.6,53.7,65.6,71,6.1,27.8,35.2,20.1,5,20.9,82.6,11.3,5.9,52594,76053,29838,33962,42261,36746,5,2,13.6,10.1,24,13.2,62.1,12.9,2017,48379.77757543003,1.9358158779076762,0
218,Florida,5.6,58.7,3,41.3,54.2,67,71.9,6.2,28,35.4,20,5.1,20.9,82.7,11.3,5.8,55462,79968,31359,34769,44520,37821,5,2.2,13.8,9.7,23.6,12.6,62.3,13,2018,49420.72251862933,2.151611676131293,0
270,Florida,4.8,59.3,2.7,40.7,54.9,69.5,73.9,7,28.4,36.5,20,4.9,21.2,82.6,11.2,5.9,59227,83883,32887,37292,45136,37458,5,2,11.8,8.7,21.6,11.7,62.5,13.2,2019,50479.763313477306,2.142908360857665,0
322,Florida,5.5,59.1,3.3,40.9,54.5,68.2,72,16.6,27.1,39,18,5.4,20.9,81,11.9,6.8,63062,89573,36196,39766,51151,42228,5,3.2,14.1,9.4,22.1,12.3,63.1,12.1,2021,53701.12734077286,6.381495902211376,1
374,Florida,5.5,59.6,2.4,40.4,55,68.9,74.3,16.4,28,39.9,17.9,5.2,20.7,81.9,11.4,6.5,69303,99349,40278,43665,54157,45855,5,2.1,12.3,9,20.6,11.5,63.6,11.2,2022,55587.0532460777,3.5118925778545806,1
426,Florida,5.5,60,2.5,40,55.6,69.2,73.7,15.8,28.5,40.6,18.2,5.4,20.7,82.2,11.3,6.3,73311,103634,41902,45957,56557,48034,4.9,1.9,11.9,8.6,19.4,11.3,64.2,10.7,2023,57105.762910323094,2.7321283924194306,1
478,Florida,5.1,60.8,2.8,39.2,56.4,69.7,74.9,15.5,28.9,40.8,18.2,5.3,21.2,81.6,11.8,6.4,77735,108835,43582,47966,60201,50563,4.8,2,11.4,8.4,19.6,10.9,65.4,10.9,2024,58122.7764071941,1.7809297083870357,1
11,Georgia,6.8,62.4,5.1,37.6,57.4,65.2,70.1,5,27.6,36.1,17,10.3,21.1,79.3,15,5.6,49321,68820,25615,31104,44623,36468,5.4,1.8,15.7,14.1,34.2,16.7,63.2,15.8,2014,51385.306066682795,NA,0
63,Georgia,6.2,62.6,4.4,37.4,57.8,64,71,5.1,28,36.4,16.4,10.9,20.9,79.7,14.7,5.4,51244,71555,26810,31834,45396,36650,5.3,1.6,14.7,13,33.5,15.6,65.3,13.9,2015,53038.375474168475,3.2170080009652713,0
115,Georgia,5.6,62.9,3.7,37.1,58,66.3,72,5.6,28.5,36.4,16.7,10.6,20.2,80.1,14.3,5.4,53559,75363,28183,33209,46712,38278,5.5,1.9,14,12,29.9,14.5,66.3,12.9,2016,54491.09574463338,2.738998427982442,0
167,Georgia,5.4,63.3,3.6,36.7,58.3,66.3,72.4,5.8,28.8,37.2,16.6,10.5,20.8,80.2,13.9,5.7,56183,79157,29668,34224,47114,38958,5.4,1.5,12.6,11.1,27.9,13.6,66.1,13.4,2017,56018.197507523975,2.802479454711637,0
219,Georgia,5,63.1,3,36.9,58.4,68.4,72.7,5.9,29,37.6,16.4,10.8,20.5,80.6,13.9,5.4,58756,82489,31187,36155,50133,40254,5.4,1.2,11.9,10.8,27.6,12.9,65.8,13.7,2018,57126.38823414554,1.978269162396229,0
271,Georgia,4.4,63.2,3,36.8,58.7,68.5,72.8,6.9,29.3,39.1,16,10.6,20.8,80.4,14,5.4,61980,86468,32657,37881,50346,40481,5.4,1.4,11.2,9.6,25.5,11.9,65.8,13.4,2019,58406.448237771474,2.2407508039530066,0
323,Georgia,5.3,62.9,3.4,37.1,58.4,64.8,70.9,18.2,27.1,41.5,15,10.3,21.4,79.5,14.7,5.6,66559,92425,35086,41300,54422,45405,5.1,2.4,12.4,10.6,25.7,12.6,66.1,12.6,2021,59644.78212714529,2.1202006400604656,1
375,Georgia,4.6,63.9,2.6,36.1,59.2,70.3,75.2,16.3,28.2,41.4,14.6,10.4,20.5,80,14.2,5.7,72837,99863,38378,44656,58853,48397,5.1,1.7,13.2,9.4,23.2,11.6,66.6,11.7,2022,61309.02932042402,2.7902645192517284,1
427,Georgia,4.9,64.1,2.8,35.9,59.4,70.4,73.6,15.2,28.7,42.3,15.1,9.6,21,80,14,5.7,74632,103146,39685,45317,60507,49871,5.2,1.7,12.4,9.8,24.6,12.1,66.3,11.4,2023,61412.466334630946,0.16871416062766986,1
479,Georgia,4.9,64.5,3,35.5,60.6,69.4,74.4,14.9,29.4,43,14.8,9.7,21.4,80.1,14.3,5.5,79991,108907,41996,49250,64177,51864,4.9,1.6,10.8,9.3,22.2,11.3,67.2,12,2024,62249.01394190468,1.3621788167820226,1
12,Hawaii,5,64.8,3.3,35.2,58.7,61,72.2,4.5,27.9,34.2,23,3.1,20.4,72.6,20.2,6.8,69592,86866,29736,41669,46786,40162,4.3,3.3,11.7,7.8,18.9,11,75.4,5.3,2014,57445.693069132045,NA,0
64,Hawaii,4,65.5,3,34.5,59.2,63.3,73.8,4.6,27.4,33.6,22.9,3,19.6,72.8,19.9,7.2,73486,92496,31052,42331,48074,40434,4.4,3,11.5,6.9,16.9,10.1,76.5,4,2015,58930.188988186215,2.584172702499532,0
116,Hawaii,3.9,65.7,2.8,34.3,59.6,63.6,73.4,4.9,27.4,33.6,23.2,2.8,20.1,73.1,19.8,6.8,74511,95904,32634,42111,49373,41224,4.1,3.5,11.8,6,15.4,9.1,77.2,3.5,2016,59956.11963174083,1.740925425778439,0
168,Hawaii,3.9,65.3,2.6,34.7,59.3,63.8,75.6,4.4,27,34.1,23.9,3.1,20.2,73.2,20.3,6.4,77765,98553,33882,41972,51594,41664,4.3,2.8,10.7,7.4,20.4,8.9,77,3.8,2017,61326.040863734015,2.284873071185123,0
220,Hawaii,2.7,65.6,2.4,34.4,60.2,66,74.7,5.4,27.6,34.2,24.3,3,21.2,73.1,19.8,6.8,80212,103162,35255,43432,51413,42584,4.6,2.6,10,5.7,17,8.5,76.3,4.1,2018,62424.47835784083,1.7911436620334564,0
272,Hawaii,4,64.9,2.4,35.1,59.6,63.5,73.9,4.8,28.1,36.1,23.3,2.9,21.6,73.6,19.3,6.8,83102,106247,36989,51343,52033,46524,3.7,2.5,10.4,6.4,16.1,8.5,76.1,4.2,2019,62767.913592325596,0.5501611603641487,0
324,Hawaii,5.3,63.4,4.6,36.6,58.3,64,71.4,10.7,25.3,39.5,20.8,2.7,24.5,70.4,22.7,6.7,84857,111751,38614,49452,61812,49816,4.1,5.4,12.6,8,17.5,10.9,74.5,3.9,2021,58422.47162744858,-6.923030759155768,1
376,Hawaii,3.9,63.5,2.2,36.5,58,68.4,73.6,9.5,26.1,39.7,21.6,3.4,21.8,70.8,22,7.1,92458,120969,42710,53295,62824,52164,4.7,4.2,11.7,6.6,14.8,9.8,75,3.5,2022,60850.236331314525,4.155532342670187,1
428,Hawaii,4,63,2.1,37,58,71.4,75.4,8.7,27,39.3,22.2,2.9,22.3,72.5,20.2,7.1,95322,124713,43794,53331,62229,54478,4.7,3.3,11,6.6,14.9,9.7,75.2,3.2,2023,62470.60873201157,2.6628859613206934,1
480,Hawaii,4.1,64.1,2,35.9,58.9,65.4,75.7,8.9,26.7,39.9,22.4,3,22.7,71.8,21.3,6.7,100745,131862,46713,58685,62799,55191,4.1,3.5,11.5,6.5,15.9,9.7,74.6,3.5,2024,64028.62256019714,2.4939949518807847,1
13,Idaho,6.2,61.9,3.4,38.1,55.7,56.3,65.8,6.2,20.3,33.4,18.4,9.6,22,77.9,14.6,7.3,47861,64115,23938,26708,42624,31019,4.5,3.1,11.8,10.2,30.7,14.4,68.4,13.6,2014,40915.90248540662,NA,0
65,Idaho,6.5,62.3,3.3,37.7,56.9,57.1,68.4,6.2,20.5,33.7,19.1,9.5,23.4,77.3,14.7,7.8,48275,63921,24273,27252,43264,31808,5.1,3.1,11.5,10.9,34.2,15.6,69.6,11,2015,41023.11958583839,0.26204261404232376,0
117,Idaho,5.8,62,2.9,38,55.5,55.9,65.1,5.9,20.9,35,17.8,10,22.5,77.4,14.8,7.6,51807,68006,25678,29627,45305,34403,4.9,3.1,10.9,10,32.4,14,70.1,10.1,2016,41829.568964083905,1.9658411802595088,0
169,Idaho,5.1,62.1,2.6,37.9,56.6,53.9,64.3,5.7,21,34.6,17.3,9.9,22.2,78.2,14.9,6.6,52225,69958,26386,30706,46241,34665,4.9,2.9,9.7,8.6,29.4,13,69.8,10.1,2017,42410.415497646456,1.388602722780341,0
221,Idaho,4.7,62.1,2.5,37.9,56.7,55.7,68.1,6.2,21,35.5,16.6,10.2,22.1,78.9,13.8,7.1,55583,73369,27816,32123,47182,36846,4.6,2.5,8.9,8.2,26.3,11.6,69.7,11.1,2018,44320.102918027434,4.502873640761562,0
273,Idaho,4.8,63.6,2.1,36.4,58.4,61.6,69.5,7.4,21.5,35.5,17.1,9.6,21.9,77.6,14.3,7.7,60999,78975,29606,35157,48861,36761,4.5,2.3,8.3,7.4,19.9,11.5,70,10.8,2019,45355.82931818944,2.3369223714972964,0
325,Idaho,5,63.1,2.1,36.9,57.3,56.5,66.3,13.3,21.6,37.9,17,10,22.1,76.1,15.3,8.2,66474,89955,33841,38607,51941,40803,4.8,4,8.4,7.7,23,10.6,68.1,8.8,2021,46699.19757671844,2.9618425651634084,1
377,Idaho,4.4,62.4,1.8,37.6,56.9,58,66.1,13.1,22.1,39.6,16.3,9.2,22.7,77.9,14.4,7.5,72785,94503,35980,42145,56040,42715,4.8,2.7,7.3,6.8,21.2,10.3,68.3,8.2,2022,47758.538429430286,2.268434807624975,1
429,Idaho,4.7,62.6,2.2,37.4,57.4,61,68,13.5,21.9,39.7,16.3,9.9,22.3,77.2,14.8,7.7,74942,98653,37426,42022,60399,45745,4.2,2.4,7,6.5,16.4,9.7,68.8,8.9,2023,48356.582121160296,1.2522236052380453,1
481,Idaho,4.8,63.2,2.3,36.8,58.2,57.1,69.7,12.7,22.2,39.8,17.1,9.2,23,77.7,15.1,7.1,81166,104073,39870,48391,66255,50108,4.5,2.4,7.2,6.8,17.7,10.7,69.8,9.2,2024,49761.95378814837,2.906267575873822,1
14,Illinois,4.7,65.4,5.3,34.6,60.2,65.8,72,4.4,28.6,37.1,17.3,12.3,22.7,83.2,12,4.6,57444,79379,30417,34681,51652,40898,4.7,2.4,13.7,10.5,30.7,13.4,68.2,9.7,2014,62978.99153533401,NA,0
66,Illinois,4.6,65.2,4.5,34.8,60.1,67.7,71.8,4.4,28.8,37.5,17.5,12.3,22.7,83.7,11.7,4.6,59588,82699,31867,35818,52161,41327,4.7,2.4,13.5,9.8,28.6,12.6,69.8,7.1,2015,64187.52238116549,1.9189428353317384,0
118,Illinois,4.4,65.2,4.1,34.8,60.5,70,73.3,4.9,28.9,37.6,17.3,12,22.7,83.4,11.7,4.8,60960,84561,32849,35953,53111,42108,4.9,2.5,13.3,9.5,26.6,12.1,70.4,6.5,2016,64453.55295460223,0.41445839248470673,0
170,Illinois,4.2,65,4,35,60.2,67.9,72.5,4.9,29.1,37.8,17.4,12,22.9,83.7,11.5,4.6,62992,88160,34196,38105,55585,43149,4.6,2.2,12.9,9,26.2,11.9,69.9,6.8,2017,65166.9618830142,1.1068574123670905,0
222,Illinois,3.8,65.4,3.6,34.6,60.6,71,74.6,5.1,29.4,39.1,17.2,11.8,23.2,83.6,11.6,4.6,65030,91424,35801,38274,56838,45910,4.7,2.1,12.3,8.5,25,11.4,70.2,7,2018,66918.52882802207,2.6878143378116004,0
274,Illinois,3.6,65.1,3.1,34.9,60.6,70.4,74.9,5.4,29.6,40.7,17,11.8,23.4,83.1,12.4,4.3,69187,95725,37728,40860,58579,45967,4.5,2,11.8,7.9,22.7,10.7,70.1,7.4,2019,67736.41339551372,1.2222094266202133,0
326,Illinois,4.4,64.5,4.7,35.5,60.2,69.7,73.6,19.3,26.8,43.1,15.7,11.9,23.7,81.7,13.3,4.9,72205,99874,39794,43121,63819,51131,4.5,3.4,14.1,8.6,23,11.2,69.4,7,2021,67471.51972620774,-0.39106539013109565,1
378,Illinois,3.9,65,3.1,35,60.3,71.1,75.1,15.8,27.9,43.2,15.3,11.5,23.1,82.1,13.1,4.7,76708,106728,43317,46533,65710,53150,4.8,2.6,14.6,8.3,23.6,11,69.3,6.6,2022,69225.75594724549,2.599965478999522,1
430,Illinois,4.2,65.4,3.1,34.6,61.2,73.9,76.1,14,28.1,43.8,15.7,11.6,23.7,82,13.3,4.6,80306,110930,45043,48842,68599,55956,4.4,2.4,14.1,8,21.8,10.8,69.7,6.2,2023,70049.71508436889,1.1902493888998666,1
482,Illinois,4,65.5,3.3,34.5,61.4,73.5,77,13.6,28.3,44.4,15.7,11.3,23.5,81.8,13.4,4.6,83211,115705,46937,50342,71395,59502,4.6,2.6,13.4,8,21.3,10.8,69.5,6.9,2024,70780.41126083826,1.0431108471880446,1
15,Indiana,4.7,64,4.5,36,59.2,68,74.1,3.4,23.3,32.9,17,18.7,23.1,84.7,10.7,4.5,49446,64422,25140,29469,46273,34846,5.1,1.9,12.8,10.9,32.3,14.7,69,11.9,2014,52126.56300717145,NA,0
67,Indiana,4.3,63.6,3.7,36.4,58.6,65.9,72.3,3.6,23.3,32.9,16.5,19,22.2,85,10.4,4.4,50532,67065,26396,30326,47092,35753,5.2,1.8,11.5,10.2,32.2,13.8,70.5,9.6,2015,51608.28757175817,-0.9942635875340056,0
119,Indiana,4.5,63.7,3.2,36.3,59.1,65.4,71.7,3.8,23.6,33.1,16.8,18.8,23.3,84.9,10.6,4.4,52314,69612,27464,30752,49157,36440,5.2,1.8,10.8,9.6,29.2,13.5,70.8,8.1,2016,52492.400455686424,1.7131219141866438,0
171,Indiana,3.9,63.4,3,36.6,58.7,68.3,72.7,4.3,23.6,34.4,16.3,18.8,23,85,10.2,4.6,54181,71510,28323,31574,50782,37167,5.1,1.5,9.3,9.2,28.8,13,70.7,8.2,2017,53667.38976546021,2.238398891217974,0
223,Indiana,4.4,64,2.8,36,59.3,68.9,73.5,3.9,23.9,34.5,16.4,19.4,22.7,85,10.4,4.4,55746,73733,29369,32682,50774,38031,5.1,1.4,8.9,9.3,27.6,12.6,70.2,8.3,2018,55051.719934713554,2.5794624543940214,0
275,Indiana,3.5,64,2.7,36,59.4,69.8,73.2,4.3,24.2,35.1,16.5,18.5,23.1,84.2,11.2,4.4,57603,78064,30988,33994,51322,38913,5.1,1.6,8.5,7.8,24.2,11.8,69.5,8.7,2019,55044.814968333136,-0.012542689653671779,0
327,Indiana,3.7,63.4,3,36.6,58.6,65.1,72.1,11.9,23.8,37.9,15.2,18.2,23,83.3,11.8,4.7,62743,82643,33054,36751,55191,43215,4.8,2.4,9.4,8.3,25.3,11.6,69,7.5,2021,56774.30867759978,3.1419738812122677,1
379,Indiana,4.1,63.9,2.3,36.1,59,66.5,73.6,10.5,24.1,38.1,14.8,18.5,23,83.5,11.8,4.6,66785,88805,35984,39768,59860,46239,4.9,1.8,9.2,8.8,27.2,12.2,68.4,7,2022,57513.99804516296,1.3028593122350385,1
431,Indiana,4,64.4,2.3,35.6,59.7,68.1,74.9,10.4,24.3,39.1,14.8,17.7,23.8,83,12.1,4.7,69477,91900,37299,41309,60859,47699,4.9,1.7,8.7,8.4,25.9,11.8,67.8,6.9,2023,58181.63032290213,1.1608170192148881,1
483,Indiana,4.3,64.2,2.6,35.8,59.9,68.4,75.1,9.6,24.6,38.3,15.7,17.7,23.5,83.6,11.7,4.6,71959,95565,38794,42363,62312,51055,5.2,1.7,8.6,8.4,23.5,11.4,67.2,7.5,2024,59411.39368462097,2.113662602601152,1
16,Iowa,3.6,67.8,3,32.2,63.5,75.9,80.5,4.8,18.8,35.1,16.2,15.2,24.3,79.5,13.5,6.8,53712,69618,28361,30280,47202,36522,4.1,2.4,11.9,7.9,29.8,12.3,75.6,6.2,2014,57965.47530526647,NA,0
68,Iowa,3.2,67.5,2.8,32.5,63.1,75.1,80.3,4.1,19,34.4,16.8,15.7,24.3,80.5,13,6.2,54736,70036,28628,31029,47298,36264,4.5,2.2,11.3,7.7,28.2,12.5,76.2,5,2015,59563.41325862495,2.7567063755505883,0
120,Iowa,3.3,67.6,2.7,32.4,62.9,72.9,78.9,4.7,19,36.1,16.4,14.2,24.2,80.2,13.2,6.4,56247,73644,30047,31576,49385,37791,4.1,2.1,10.9,7.6,28.9,11.9,75.3,4.3,2016,59596.99477532626,0.05637943640923737,0
172,Iowa,3.3,67.3,2.4,32.7,63,74.5,80.3,5.1,19.4,35.5,16.2,14.6,23.7,80.4,13.2,6.2,58570,75455,30865,34335,50295,39658,4.1,1.9,9.6,6.7,24.7,11.2,75.8,4.7,2017,59523.16576402456,-0.1238804264879878,0
224,Iowa,3.1,66.9,2.4,33.1,62.7,76.8,82.1,5.1,19.5,36.3,16.6,15.1,24.5,80.5,13.2,6,59955,77173,31559,35085,51488,40353,4.4,1.8,9.6,7.2,26.8,11.5,74.8,4.7,2018,60079.71681640687,0.9350158803527409,0
276,Iowa,3.3,66.9,2.5,33.1,62.8,75.6,80.8,5.8,19.8,37.8,15.8,15.1,24.6,79.3,14.3,6.2,61691,80267,33107,36559,52070,40681,3.9,1.8,9.5,7.3,25.3,11.6,73.2,5,2019,59650.47430114483,-0.7144549575254011,0
328,Iowa,3.4,66.1,2.4,33.9,61.8,74.5,80.4,13.4,19.7,39,14.8,15,23.9,79.1,14.4,6.3,65600,86499,35715,38979,56427,44801,4.4,2.6,9.8,6.9,25.1,11.4,72.3,4.8,2021,63291.1091681653,6.103278992620842,1
380,Iowa,3,66.6,2,33.4,62.6,76.8,81.1,11,19.7,39.6,15.2,14.5,24.6,78.7,14.7,6.3,69588,92695,38917,41504,59736,48239,4.1,1.6,8.5,6.8,23.5,11.2,73.3,4.5,2022,63297.77100400076,0.010525705621233783,1
432,Iowa,3.5,66.3,1.8,33.7,62.6,74.9,80.3,10.5,20,39.7,15.1,14.8,24.2,78.6,14.8,6.4,71433,93942,39518,42048,61232,49500,4.2,1.5,8.7,6.9,23,11,71.8,5,2023,62636.43798143489,-1.0447966999091785,1
484,Iowa,3.6,66.5,2.1,33.5,63,76.9,80.3,9.9,20.4,39.9,15.4,14.6,24.6,79.4,14.6,5.7,75501,96497,40536,45281,63372,51145,3.9,1.6,8.2,7.4,24.8,11.4,71.4,5.4,2024,63903.98996549711,2.0236654971311108,1
17,Kansas,4.4,66,3.4,34,60.5,66.3,74.5,4,19.2,36.9,16.7,12.3,24.6,78.5,15.4,5.9,52504,71045,27870,30376,46951,36162,4.3,2,9.5,9.2,30.8,13.2,73.6,10.2,2014,53107.33353527271,NA,0
69,Kansas,3.9,66.3,3,33.7,61,65.9,74.1,4.2,19,37.3,17,12.2,24.4,79,14.9,6,53906,73069,28852,31273,47864,36671,4.2,1.6,8.5,8.4,28.2,12.7,74.8,9.1,2015,54489.18599781428,2.601999329572391,0
121,Kansas,3.7,66.3,2.9,33.7,61.4,69.8,74.7,4.5,19.4,38.1,16.9,12.7,24.4,78.4,15.4,6,54935,73385,28950,31227,47891,37091,4,1.5,7.9,7.9,26.9,12.3,75.1,8.7,2016,56520.76895904087,3.7284149579846604,0
173,Kansas,3.9,66.5,2.8,33.5,60.9,68.9,76,4.7,19.1,38.9,16.4,12.3,25.4,77.6,16,6.1,56422,75822,30146,32327,49267,37931,4.3,1.6,7.7,7.9,27.2,11.8,74.5,8.7,2017,57121.184846431956,1.0622924961020797,0
225,Kansas,3.7,66.3,2.5,33.7,61.2,67.9,75.8,4.8,19.7,38.2,16.6,12.3,24.6,78.4,15.4,6,58218,78972,31456,32386,50872,40045,4.6,1.5,7.3,8,26.4,11.8,74.3,8.8,2018,58294.40102611005,2.0539072899699695,0
277,Kansas,3.6,66.9,2.5,33.1,61.6,70.4,77.3,5.1,20,40,16.3,12.6,24.6,77.9,15.9,5.9,62087,82270,32885,36347,51291,40848,4,1.5,7,7.5,26.4,11.2,74.4,9.2,2019,58216.11702118529,-0.13429077843976067,0
329,Kansas,4.1,65.7,2.8,34.3,61,71.7,75.2,13.8,19.6,41.8,15.4,11.8,25.1,76.8,16.9,6.2,64124,86580,35028,36685,54902,44368,4,2.1,7.3,8,25,11.7,72.6,9.2,2021,57979.983436351424,-0.40561548402126,1
381,Kansas,4.1,65.7,2.4,34.3,60.8,68.1,75.3,12.1,19.6,42.1,14.4,12.3,24.7,77.8,16.3,5.7,68925,93221,37919,39735,58298,45626,4.2,1.4,7,7.7,22.8,12,73.7,8.6,2022,60508.52372709097,4.361057283700842,1
433,Kansas,4,66.2,2.1,33.8,61.2,70.6,77.7,10.4,20,42.6,15.3,12.1,24.8,77,16.9,6,70333,93781,38361,41087,58633,47272,3.6,1.4,6.8,7.6,24.3,11,73.2,8.4,2023,61112.82688798267,0.9987074938685669,1
485,Kansas,3.3,66.6,2.4,33.4,61.5,70.3,77,10.3,20,42.5,15.1,12.5,25,77.4,16.9,5.5,75514,101988,41580,44477,62003,51041,3.7,1.3,5.9,6.9,24,10.6,73.8,8.5,2024,61242.5520664011,0.21227160487307106,1
18,Kentucky,7.5,59.3,4.5,40.7,54.5,63.8,69.1,3.2,22.9,32.9,17.2,14.3,23.6,80.1,14.4,5.4,42958,59057,23684,24612,42203,33704,8,2.4,17.5,14.5,37.8,18.3,65.3,8.5,2014,44554.25773920351,NA,0
70,Kentucky,7.6,58.8,3.8,41.2,54.2,64.4,68.5,3.1,23.3,33.2,16.7,14.3,23.7,80.3,14.3,5.2,45215,62596,25082,26768,43037,35294,8,2,16.5,14,35.5,17.6,65,6,2015,45039.83404400778,1.089853875799185,0
122,Kentucky,6.9,59.1,3.5,40.9,55,66,70.3,3.7,23.3,33.4,16.6,14.9,23.7,80.8,13.9,5.2,46659,64852,26046,27220,45521,36259,8,2,14.9,14,37,17.9,65.3,5.1,2016,45268.77201706369,0.5083011026022266,0
174,Kentucky,7.1,59.3,3.2,40.7,54.9,69.1,70.8,3.9,23.3,33.5,16.4,14.7,23.6,80.5,13.9,5.3,48375,67090,26779,27249,46289,36487,7.7,1.7,14.1,12.9,33.5,17.1,64.5,5.4,2017,45687.32760420057,0.9246011510519958,0
226,Kentucky,6.6,59.3,3.1,40.7,54.8,66.4,71.3,4.1,23.5,34.8,16.9,13.9,23.8,80.8,13.8,5.2,50247,69724,27823,29703,47370,37379,7.6,1.7,13.2,12.6,34.2,16.4,64.2,5.6,2018,46130.71378027285,0.9704795603573846,0
278,Kentucky,6,59,2.8,41,54.8,67.7,70.6,4.3,24.2,36.2,16.1,14.3,24.7,80.2,14.5,5,52295,72215,29029,30384,48545,38763,7.5,1.7,11.9,11.8,32.4,15.5,63.7,6.4,2019,47353.92730212003,2.6516249622182686,0
330,Kentucky,6.2,58.8,3.2,41.2,54.6,64,68.3,11.5,23.6,37.1,14.8,14.4,23.8,80.1,14.3,5.3,55573,76234,30728,32452,51842,40991,7.4,2.2,14.2,12.2,33.1,15.7,62.8,5.7,2021,47807.97755630222,0.9588439228816803,1
382,Kentucky,6.6,59.9,2.6,40.1,55.4,65.1,70.9,10.5,24.1,37.6,15,14.5,23.8,79.2,14.6,6,59341,82614,33980,33993,54770,43557,7,1.6,12.8,11.9,30.4,15.8,62.8,5.6,2022,48801.191178168454,2.0775060411132307,1
434,Kentucky,6.8,60.3,2.5,39.7,56.1,68.4,71.7,9.5,24.2,38.9,15.4,14.1,24.7,79.6,14.9,5.3,61118,83499,34676,36323,56088,45857,6.4,1.7,13.1,12.6,32.6,15.6,62.8,5.4,2023,49877.96577239369,2.206451457904035,1
486,Kentucky,6.3,60.2,2.9,39.8,56.1,66.1,72.3,9.5,24.5,38.5,15.4,14.7,24.7,79.8,14.7,5.2,64526,87717,35955,38452,59165,49277,7,1.7,13.4,11.5,29.8,14.9,63.1,6.8,2024,50384.83470715608,1.0162181374343993,1
19,Louisiana,6.1,60,4.4,40,55.4,65.8,69.6,2.6,25.4,32.3,19.6,7.8,22.8,80,14.3,5.5,44555,63728,24800,26239,48382,31586,7.4,1.6,15.7,14.9,37.6,18.2,60.2,14.8,2014,52312.98824908985,NA,0
71,Louisiana,5.6,60.1,4.2,39.9,55.6,67.4,70.4,2.8,25.3,33.7,19.1,7.8,23.6,79.3,15.1,5.5,45727,64895,25456,26111,49730,33832,7,1.4,14.9,14.7,38.3,17.7,62.5,11.9,2015,51335.80515783379,-1.867955022189094,0
