x1,geo,pct_poverty_married,pct_labor_force,pct_unemployed,pct_not_in_labor_force,pct_female_labor_force,pct_parents_lf_under6,pct_parents_lf_6_17,pct_work_from_home,est_commute_time_min,pct_mgmt_occ,pct_service_occ,pct_manufacturing,pct_health_edu,pct_private_workers,pct_gov_workers,pct_self_employed,est_median_hh_income,est_mean_hh_income,est_per_capita_income,est_median_nonfamily_income,est_male_earnings,est_female_earnings,pct_ssi,pct_public_assistance,pct_snap,pct_poverty_all,pct_poverty_female_head,pct_poverty_18_64,pct_private_insurance,pct_uninsured,year,gdp_per_capita,gdp_pc_growth,post_covid
55,Arizona,6.9,58.8,4,41.2,53.9,61.8,65.9,5.5,25.1,34.6,19.8,7.1,21.7,80.2,13.8,5.8,51492,70638,26721,33452,44421,37084,4.3,2,13,12.5,30.9,16.8,62.8,10.8,2015,45161.917278542795,0.7782858721675057,0
107,Arizona,7,59.4,3.8,40.6,54.4,60.9,66,6.3,25.3,36.1,20,7,21.8,79.7,13.5,6.7,53558,74053,27997,34776,46386,37966,4.7,1.7,12.4,11.9,28,15.6,62.2,10,2016,45935.076007589596,1.7119705620074255,0
159,Arizona,6.2,59.9,3.5,40.1,54.7,62.4,67.8,6.3,25.6,36.1,19.2,6.8,21.7,80.8,13.2,6,56581,77451,29420,36607,46681,39675,4.3,1.6,10.8,10.7,26,14.2,63,10.1,2017,47260.90253129643,2.8863052789719346,0
211,Arizona,5.9,59.8,3.2,40.2,54.9,61.2,67.5,6.8,25.7,36.6,19.8,6.9,21.7,80.4,13.4,6,59246,80477,30530,38032,47854,40311,4.4,1.6,10.4,9.9,24.8,13.3,62.6,10.6,2018,48351.09937874674,2.3067626495883564,0
263,Arizona,5.4,60.2,3,39.8,55.4,63.5,67.7,7.6,26.6,37.9,18.6,7,21.8,80,13.6,6.2,62055,84438,32173,40198,49773,41496,4.5,1.5,9.4,9.5,23.1,12.7,62.7,11.3,2019,49312.18349051125,1.9877192537776311,0
315,Arizona,4.9,60.6,3.5,39.4,55.3,64.5,67.2,20.7,24.8,41,16.7,7.8,22,79.6,14.2,6,69056,93177,36295,43690,55458,46309,4.2,3,11.2,9.1,23.8,12,63.2,10.7,2021,54503.20331722945,10.526850484560413,1
367,Arizona,5.6,60.7,2.6,39.3,55.4,63.1,69,19.2,24.9,40.9,17.1,7.5,21.4,80.3,13.6,5.8,74568,101316,39819,47840,57628,50126,4,1.9,10.3,8.9,20.9,11.9,63.9,10.3,2022,56145.88202410698,3.0139122233174387,1
419,Arizona,5.1,60.7,2.6,39.3,56.1,65.2,69.9,17.5,25.7,42.1,16.8,7.6,22.3,79.6,14,6.2,77315,104620,41290,49360,61531,51532,4.2,1.7,10.1,8.7,21.4,11.7,64,9.9,2023,57385.91127596308,2.208584507272815,1
471,Arizona,4.7,61.4,2.8,38.6,56.3,66.2,71.4,16.3,26.4,42.1,17.2,7.6,22.3,80.5,13.4,5.9,81486,110522,43676,51008,63294,53325,3.8,2,10.2,7.9,18.9,11,65,10.3,2024,59150.75702475139,3.0753990126624275,1
4,Arkansas,7,58.2,3.9,41.8,52.7,64.9,69.3,3.3,21.7,32.4,17.9,12.9,23.6,77.5,15.9,6.5,41262,57693,22883,24142,39916,31161,6.8,2.3,14.4,13.8,36.8,18,60.4,11.8,2014,40895.67391627276,NA,0
56,Arkansas,6.9,57.6,3.3,42.4,52.7,60.8,67,3.1,22.1,32.1,16.7,13.9,24.4,77.9,15.6,6.3,41995,59275,23589,24282,40570,32003,6.9,2,13.7,13.7,36.3,18.2,61.3,9.5,2015,40786.38615821826,-0.26723549849857475,0
108,Arkansas,6.2,57.5,2.9,42.5,53.4,64.4,69.2,3.2,21.2,33.5,17,13.4,24.4,79.3,15.2,5.4,44334,61167,24264,25339,41156,32242,6.7,1.8,12.5,12.4,33.2,16.4,62,7.9,2016,41123.832857312365,0.8273513073334904,0
160,Arkansas,5.7,58,3.2,42,54.1,64,69.9,3.7,21.6,34,17,13.3,24.5,78.8,15.1,5.9,45869,63560,25316,25188,43266,34154,6.5,1.8,11.8,11.6,31.9,15.7,61.3,7.9,2017,41241.20505150881,0.2854116118108374,0
212,Arkansas,6,57.9,2.6,42.1,53.4,66,70.2,3.7,21.7,33.7,16.9,14.3,24.6,78.6,14.5,6.7,47062,66766,26626,26682,42364,36042,6.9,1.5,11.4,12.7,34,16.3,60.4,8.2,2018,41953.667151257854,1.727549180144483,0
264,Arkansas,6.2,58.2,2.8,41.8,53.9,66.7,68.8,3.5,21.9,33.9,17.3,13.8,24.2,78.3,15.8,5.6,48952,68219,27274,27607,44631,35467,6.1,2.2,11,11.7,30,15.5,59.3,9.1,2019,42112.09257907603,0.3776199759772947,0
316,Arkansas,6.1,58.6,3.2,41.4,54.2,66.9,72,9.7,22.2,37,15.8,12.6,24.6,77.4,15.5,6.9,52528,73126,29252,29499,47329,39526,6.4,1.8,10.9,11.6,30.6,15.2,59,9.2,2021,45467.137652302,7.96693982120702,1
368,Arkansas,6.6,57.8,2.6,42.2,53,63.1,67.8,8.8,22.4,36.4,15.8,13.6,22.7,78.2,15.1,6.4,55432,76853,31380,31230,51246,41123,6.3,1.9,10.3,11.8,30.5,15.9,60,8.4,2022,45504.58763764472,0.08236714971834314,1
420,Arkansas,5.6,58.8,2.4,41.2,54.2,67,71.6,8.7,22.7,37,15.5,12.6,23.6,78.8,14.6,6.4,58700,81056,33012,33635,51798,42297,6.3,1.4,8.3,11.2,29.5,14.7,60.2,8.9,2023,46245.81739338914,1.628912147598971,1
472,Arkansas,6,59,2.2,41,54.7,66.4,71,8.6,22.7,38.3,16.1,12.6,24.1,78,15.6,6.2,62106,85474,34812,36074,55242,45145,6.6,1.4,9,11.3,29.1,14.8,60.8,9.4,2024,47605.32673574326,2.939745514258041,1
